00:04:21.715 logback [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
10:14:37.020 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/bloodcheck/find],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.Findblood(java.lang.String)
10:14:37.020 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/report/getbycount],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.GetReportBycount(java.lang.String,int)
10:14:37.021 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/cardiograph/get],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.GetCardiograph(java.lang.String)
10:14:37.021 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/messageremind/getbyid],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.GetMessagebyid(int)
10:14:37.022 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/cardiograph/delete],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.deleteCardiogram(java.lang.Integer)
10:14:37.022 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/report/generate],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.GenerateReport(java.lang.String)
10:14:37.022 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/report/getnumber],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.GetReportNumber()
10:14:37.023 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/definemessage/getbyid],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.getDefineMsgById(int)
10:14:37.026 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/messageremind/getunread],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.GetMessage(java.lang.String)
10:14:37.026 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/definemessage],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.defineMessage(scut.jiayibilin.wechat.entity.DefinitionMessageEntity)
10:14:37.027 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/report/getall],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.GetAllReport(java.lang.String)
10:14:37.027 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/messageremind/unread/getnumber],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.GetMessageNumber(java.lang.String)
10:14:37.027 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/report/getnewest],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.GetNewestReport(java.lang.String)
10:14:37.028 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/bloodcheck/get],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.FindBloodHistory(java.lang.String,java.lang.String,java.lang.String)
10:14:37.028 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/messageremind/setread],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.setMessageReaded(int)
10:14:37.028 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/healthcheck/saveorupdate],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.SaveHealthCheck(javax.servlet.http.HttpServletRequest)
10:14:37.029 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/biologycheck/get],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.GetBiologyCheck(java.lang.String)
10:14:37.029 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/bloodcheck/saveorupdate],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.SaveBloodCheck(javax.servlet.http.HttpServletRequest)
10:14:37.029 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/biologycheck/saveorupdate],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.SaveBiologyCheck(javax.servlet.http.HttpServletRequest)
10:14:37.030 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/healthcheck/get],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.GetHealthCheckTable(java.lang.String)
10:14:37.031 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/definemessage/unread/getnumber],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.getDefineMsgNumber(java.lang.String)
10:14:37.032 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/healthmanage/definemessage/setread],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.healthmanage.HealthManageController.setDefineMsgReaded(int)
10:14:37.035 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/evaluate],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.evaluate(scut.jiayibilin.wechat.entity.EvaluationEntity)
10:14:37.036 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/messageremind/getunread],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.GetMessage(java.lang.String)
10:14:37.036 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/messageboard/getone],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.getOneMessageBoard(int)
10:14:37.036 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/groupreceiving/unread],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.getGroupReceivingUnread(java.lang.String)
10:14:37.037 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/messageboard/getnewestmessagwe],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.getMessageBoardNewest(java.lang.String)
10:14:37.037 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/groupreceiving/list],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.getPatientGroupReceiving(java.lang.String)
10:14:37.037 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/groupreceiving/get],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.getPatientGroupReceiving(int)
10:14:37.038 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/groupreceiving/delete],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.deletePatientGroupReceiving(int)
10:14:37.038 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/messageboard/patientdelete],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.deleteOneMessageBoard(int)
10:14:37.038 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/groupreceiving/setread],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.setPatientGroupReceivingRead(int)
10:14:37.039 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/service/buy],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.buyservice(java.lang.String,java.lang.String,java.lang.String)
10:14:37.039 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/service/getbylist],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.getservice(java.lang.String)
10:14:37.039 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/contact/suggest],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.contact_sug(scut.jiayibilin.wechat.entity.SuggestionEntity)
10:14:37.041 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/save],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.patientsave(javax.servlet.http.HttpServletRequest)
10:14:37.041 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/get],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.patientinfo(java.lang.String)
10:14:37.041 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/service/buyagain],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.buyserviceagain(java.lang.String,java.lang.String,java.lang.String)
10:14:37.042 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/messageboard/set],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.setMessageBoard(scut.jiayibilin.wechat.entity.MessageBoardEntity)
10:14:37.042 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/service/get],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.getmyservice(java.lang.String)
10:14:37.042 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/update],methods=[POST]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.patientupdate(javax.servlet.http.HttpServletRequest)
10:14:37.043 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/patientinfo/doctor/get],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.patient.PatientInfoController.getmydoctor(java.lang.String)
10:14:37.043 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/aliyun/qrcode/get],methods=[GET]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.qrcode.AliyunOssController.getdoctorqrcodeurl(java.lang.String)
10:14:37.044 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/aliyun/qrcode/create]}" onto public scut.jiayibilin.wechat.entity.JsonResult scut.jiayibilin.wechat.controller.feign.mysql.qrcode.AliyunOssController.qrCodeCreateLogo(java.lang.String) throws me.chanjar.weixin.common.exception.WxErrorException,scut.jiayibilin.wechat.entity.QRParamsException,java.io.IOException
10:14:37.044 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/mydoctor]}" onto public java.lang.String scut.jiayibilin.wechat.controller.view.DoctorViewController.mydoctor(javax.servlet.http.HttpServletRequest,org.springframework.ui.Model)
10:14:37.044 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/qrcode/doctor/{phone}]}" onto public java.lang.String scut.jiayibilin.wechat.controller.view.DoctorViewController.qrcode(javax.servlet.http.HttpServletRequest,java.lang.String)
10:14:37.045 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/view/doctorlist]}" onto public java.lang.String scut.jiayibilin.wechat.controller.view.MainViewController.doctorlist(javax.servlet.http.HttpServletRequest)
10:14:37.046 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/view/about]}" onto public java.lang.String scut.jiayibilin.wechat.controller.view.MainViewController.about()
10:14:37.046 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/view/healthmanage]}" onto public java.lang.String scut.jiayibilin.wechat.controller.view.MainViewController.healthservice(javax.servlet.http.HttpServletRequest)
10:14:37.046 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/view/contactus]}" onto public java.lang.String scut.jiayibilin.wechat.controller.view.MainViewController.contactus(javax.servlet.http.HttpServletRequest)
10:14:37.046 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/view/patient]}" onto public java.lang.String scut.jiayibilin.wechat.controller.view.MainViewController.patientinfo(javax.servlet.http.HttpServletRequest)
10:14:37.050 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wechat/main],methods=[POST],produces=[application/xml;charset=UTF-8]}" onto public java.lang.String scut.jiayibilin.wechat.controller.wechat.WechatController.post(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
10:14:37.050 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wechat/main],methods=[GET],produces=[text/plain;charset=utf-8]}" onto public java.lang.String scut.jiayibilin.wechat.controller.wechat.WechatController.authGet(java.lang.String,java.lang.String,java.lang.String,java.lang.String)
10:14:37.051 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public java.lang.String scut.jiayibilin.wechat.controller.wechat.WxErrorController.errorHtml(javax.servlet.http.HttpServletRequest)
10:14:37.055 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wechat/menu/getSelfMenuInfo],methods=[GET]}" onto public me.chanjar.weixin.mp.bean.menu.WxMpGetSelfMenuInfoResult scut.jiayibilin.wechat.controller.wechat.WxMenuController.getSelfMenuInfo() throws me.chanjar.weixin.common.exception.WxErrorException
10:14:37.056 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wechat/menu/get],methods=[GET]}" onto public me.chanjar.weixin.mp.bean.menu.WxMpMenu scut.jiayibilin.wechat.controller.wechat.WxMenuController.menuGet() throws me.chanjar.weixin.common.exception.WxErrorException
